Nama Obat,Efektivitas,Dosis,Efek Samping,Harga,Bagian Sakit Kepala
Paracetamol Sirup,8,9,9,9,8
Ibuprofen Sirup,8,8,7,8,8
Acetaminophen Drops,7,9,9,8,7
Cefixime Sirup ,7,7,6,6,7
Diphenhydramine Sirup ,6,7,6,7,7
Metoclopramide Drops,7,6,6,7,8
Cyclobenzaprine Syrup,6,7,5,6,6
Hydroxyzine Syrup,6,7,5,6,6
Naproxen Syrup ,7,6,6,7,7
Desvenlafaxine Syrup ,7,6,5,6,6
Venlafaxine Syrup ,7,6,5,6,6
Gabapentin Syrup ,7,6,6,7,6
Benadryl  Tablets ,6,7,6,7,6
Tizanidine Syrup ,6,6,5,6,6
Amitriptyline Syrup ,7,6,5,6,6
Topiramate Syrup ,7,6,6,7,7
Nadolol Syrup ,7,6,5,6,6
Clonidine Syrup ,6,6,5,6,6
Dimenhydrinate Syrup,6,7,6,6,7
Loratadine Syrup ,6,8,8,7,6
Cetirizine Syrup ,6,8,8,7,6
Fexofenadine Syrup ,6,8,8,7,6
Mefenamic Acid Syrup ,7,6,6,7,7
Dexketoprofen Syrup ,7,6,6,7,7
Piroxicam Syrup ,7,6,6,7,7
Chlorpheniramine Syrup ,6,7,6,7,6
Promethazine Syrup ,6,7,6,6,6
Phenylephrine Syrup,7,6,6,7,7
Guaifenesin Syrup,6,7,6,6,6
Loratadine Chewable Tablets,6,8,8,7,6
